epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6287.56,0.0498,0.00032,0.02352,0.08991,0.54552,0.99962,1,0.995,0.8991,0.99962,1,0.995,0.995,0.05365,0.00035,0.0021,0.09907,0.51812,0.000614,0.000614,0.000614
86,6362.12,0.05002,0.00032,0.01226,0.09056,0.54706,0.99908,1,0.995,0.88326,0.99908,1,0.995,0.995,0.05924,0.00033,0.00167,0.10254,0.52504,0.0005975,0.0005975,0.0005975
87,6436.53,0.05112,0.00029,0.00056,0.09034,0.5532,0.9993,1,0.995,0.89407,0.9993,1,0.995,0.995,0.05294,0.00023,0.00047,0.09447,0.51825,0.000581,0.000581,0.000581
88,6510.55,0.0506,0.00028,0.00189,0.08893,0.5525,0.99946,1,0.995,0.91787,0.99946,1,0.995,0.995,0.04972,0.00024,0.00023,0.091,0.51441,0.0005645,0.0005645,0.0005645
89,6584.54,0.05151,0.00029,0.02081,0.09223,0.55536,0.99946,1,0.995,0.90996,0.99946,1,0.995,0.995,0.04999,0.00032,0.0003,0.08971,0.51171,0.000548,0.000548,0.000548
90,6658.46,0.0517,0.00031,0.00483,0.09051,0.55401,0.99937,1,0.995,0.90087,0.99937,1,0.995,0.995,0.05145,0.00028,0.00119,0.08883,0.51413,0.0005315,0.0005315,0.0005315
91,6732.5,0.05002,0.00032,0.00937,0.0873,0.55393,0.99877,1,0.995,0.86417,0.99877,1,0.995,0.995,0.06789,0.00024,0.00091,0.10823,0.53671,0.000515,0.000515,0.000515
92,6806.88,0.05016,0.00029,0.00269,0.08782,0.55238,0.99803,1,0.995,0.88873,0.99803,1,0.995,0.995,0.05508,0.00023,0.00027,0.09312,0.51926,0.0004985,0.0004985,0.0004985
93,6881.18,0.04875,0.00027,0.00352,0.08819,0.55253,0.998,1,0.995,0.8754,0.998,1,0.995,0.995,0.06018,0.00024,0.00024,0.0983,0.52201,0.000482,0.000482,0.000482
94,6955.49,0.04776,0.00026,0.00111,0.08924,0.548,0.99927,1,0.995,0.86525,0.99927,1,0.995,0.995,0.06212,0.00021,0.00021,0.09852,0.52616,0.0004655,0.0004655,0.0004655
95,7029.95,0.04788,0.00025,0.00029,0.08578,0.55225,0.99931,1,0.995,0.90103,0.99931,1,0.995,0.995,0.05169,0.0002,0.00013,0.09248,0.51433,0.000449,0.000449,0.000449
96,7104.73,0.04871,0.00026,0.00169,0.08559,0.55176,0.99954,1,0.995,0.90017,0.99954,1,0.995,0.995,0.05302,0.00022,0.00025,0.09174,0.51715,0.0004325,0.0004325,0.0004325
97,7180.1,0.04662,0.00027,0.00951,0.08402,0.55092,0.99944,1,0.995,0.9202,0.99944,1,0.995,0.995,0.04777,0.00025,0.00032,0.08977,0.51098,0.000416,0.000416,0.000416
98,7255.51,0.04839,0.00027,0.00352,0.0872,0.54983,0.9992,1,0.995,0.92243,0.9992,1,0.995,0.995,0.0458,0.00028,0.00032,0.0885,0.50845,0.0003995,0.0003995,0.0003995
99,7330.44,0.0472,0.00029,0.01036,0.08677,0.54502,0.99907,1,0.995,0.90635,0.99907,1,0.995,0.995,0.04883,0.00026,0.00015,0.09068,0.51257,0.000383,0.000383,0.000383
100,7405.17,0.04907,0.00026,0.01453,0.0856,0.55472,0.99972,1,0.995,0.90879,0.99972,1,0.995,0.995,0.04791,0.00027,0.00015,0.08727,0.51154,0.0003665,0.0003665,0.0003665
101,7480.15,0.04945,0.00027,0.01706,0.08676,0.55323,1,0.99961,0.995,0.90122,1,0.99961,0.995,0.995,0.05147,0.00027,0.00031,0.09182,0.51479,0.00035,0.00035,0.00035
102,7554.85,0.04635,0.00025,0.00263,0.08333,0.55515,0.99994,1,0.995,0.91536,0.99994,1,0.995,0.995,0.04902,0.00024,0.00024,0.08914,0.51127,0.0003335,0.0003335,0.0003335
103,7629.42,0.04762,0.00026,0.00281,0.08356,0.54533,0.99969,1,0.995,0.92303,0.99969,1,0.995,0.995,0.0452,0.00023,0.00013,0.08365,0.50648,0.000317,0.000317,0.000317
104,7703.83,0.0484,0.00026,0.00284,0.08506,0.55307,0.99926,1,0.995,0.90677,0.99926,1,0.995,0.995,0.04951,0.00023,7e-05,0.08702,0.51069,0.0003005,0.0003005,0.0003005
105,7777.76,0.04704,0.00025,0.00337,0.08293,0.54896,0.99962,1,0.995,0.92229,0.99962,1,0.995,0.995,0.04568,0.00024,6e-05,0.08487,0.50756,0.000284,0.000284,0.000284
106,7852.32,0.04709,0.00025,0.00069,0.0822,0.54934,0.99975,1,0.995,0.92278,0.99975,1,0.995,0.995,0.04535,0.00021,5e-05,0.08491,0.50775,0.0002675,0.0002675,0.0002675
107,7926.81,0.04756,0.00023,0.00548,0.08508,0.5501,1,0.9991,0.995,0.89302,1,0.9991,0.995,0.995,0.0535,0.00021,6e-05,0.08912,0.51597,0.000251,0.000251,0.000251
108,8001.45,0.04575,0.00025,0.0011,0.08153,0.5415,0.99208,1,0.995,0.90515,0.99208,1,0.995,0.995,0.05107,0.00025,0.00011,0.09014,0.5132,0.0002345,0.0002345,0.0002345
109,8075.53,0.04581,0.00028,0.02288,0.08061,0.54673,1,0.99933,0.995,0.91533,1,0.99933,0.995,0.995,0.04732,0.00032,0.0001,0.08569,0.50943,0.000218,0.000218,0.000218
110,8149.37,0.04718,0.00025,0.00038,0.08201,0.55112,0.99873,1,0.995,0.92104,0.99873,1,0.995,0.995,0.04561,0.00026,7e-05,0.08404,0.50823,0.0002015,0.0002015,0.0002015
111,8223.16,0.04584,0.00025,0.01137,0.08076,0.54406,0.99883,1,0.995,0.90122,0.99883,1,0.995,0.995,0.05127,0.00023,5e-05,0.08547,0.51236,0.000185,0.000185,0.000185
